Author,Venue,Submissions
Stefan Savage,SIGCOMM,8
Stefan Savage,IMC,15
Stefan Savage,CoNext,1
Stefan Savage,ICN,0
Stefan Savage,E-Energy,0
Stefan Savage,SenSys,0
Stefan Savage,SoSR,0
Stefan Savage,LANC,0
Stefan Savage,HotNets,2
Stefan Savage,ANRW,0
Stefan Savage,ANCS,0
Srikanth Kandula,SIGCOMM,16
Srikanth Kandula,IMC,4
Srikanth Kandula,CoNext,0
Srikanth Kandula,ICN,0
Srikanth Kandula,E-Energy,0
Srikanth Kandula,SenSys,0
Srikanth Kandula,SoSR,0
Srikanth Kandula,LANC,0
Srikanth Kandula,HotNets,6
Srikanth Kandula,ANRW,0
Srikanth Kandula,ANCS,0
Peter Steenkiste,SIGCOMM,11
Peter Steenkiste,IMC,2
Peter Steenkiste,CoNext,8
Peter Steenkiste,ICN,1
Peter Steenkiste,E-Energy,0
Peter Steenkiste,SenSys,0
Peter Steenkiste,SoSR,0
Peter Steenkiste,LANC,0
Peter Steenkiste,HotNets,3
Peter Steenkiste,ANRW,0
Peter Steenkiste,ANCS,0
Minlan Yu,SIGCOMM,12
Minlan Yu,IMC,1
Minlan Yu,CoNext,6
Minlan Yu,ICN,0
Minlan Yu,E-Energy,0
Minlan Yu,SenSys,0
Minlan Yu,SoSR,3
Minlan Yu,LANC,0
Minlan Yu,HotNets,3
Minlan Yu,ANRW,0
Minlan Yu,ANCS,0
Pei Zhang,SIGCOMM,1
Pei Zhang,IMC,0
Pei Zhang,CoNext,0
Pei Zhang,ICN,0
Pei Zhang,E-Energy,0
Pei Zhang,SenSys,23
Pei Zhang,SoSR,0
Pei Zhang,LANC,0
Pei Zhang,HotNets,0
Pei Zhang,ANRW,0
Pei Zhang,ANCS,0
Alex C. Snoeren,SIGCOMM,11
Alex C. Snoeren,IMC,7
Alex C. Snoeren,CoNext,2
Alex C. Snoeren,ICN,0
Alex C. Snoeren,E-Energy,0
Alex C. Snoeren,SenSys,1
Alex C. Snoeren,SoSR,0
Alex C. Snoeren,LANC,0
Alex C. Snoeren,HotNets,3
Alex C. Snoeren,ANRW,0
Alex C. Snoeren,ANCS,0
Thomas E. Anderson,SIGCOMM,12
Thomas E. Anderson,IMC,5
Thomas E. Anderson,CoNext,1
Thomas E. Anderson,ICN,0
Thomas E. Anderson,E-Energy,0
Thomas E. Anderson,SenSys,0
Thomas E. Anderson,SoSR,0
Thomas E. Anderson,LANC,0
Thomas E. Anderson,HotNets,6
Thomas E. Anderson,ANRW,0
Thomas E. Anderson,ANCS,0
David R. Choffnes,SIGCOMM,10
David R. Choffnes,IMC,9
David R. Choffnes,CoNext,1
David R. Choffnes,ICN,0
David R. Choffnes,E-Energy,0
David R. Choffnes,SenSys,0
David R. Choffnes,SoSR,0
David R. Choffnes,LANC,0
David R. Choffnes,HotNets,2
David R. Choffnes,ANRW,2
David R. Choffnes,ANCS,0
Phillipa Gill,SIGCOMM,6
Phillipa Gill,IMC,12
Phillipa Gill,CoNext,2
Phillipa Gill,ICN,0
Phillipa Gill,E-Energy,0
